"Salileptolyngbya","Pseudosynechococcus","Aegeococcus","Xenococcus","unclassified_Cyanophyceae","Nodosilineaceae_XXX","Prochlorotrichaceae_X","unclassified_Caenarcaniphilales","Leptothoe","unclassified_Cyanobacteriota","Pleurocapsa","unclassified_Sericytochromatia","Metis","Prochlorococcaceae_XX","Rhodoploca","Desertifilaceae_X","Heteroleibleinia","Aliterella","Geminocystis","Myxosarcina","unclassified_Nodosilineales","Neolyngbya","Geminobacterium","unclassified_Chroococcales","unclassified_Nodosilineaceae","Romeriopsis","Sinocapsa","Cymatolege","Caldora","Acaryochloris","Picosynechococcus","Zarconia","Petrachloros","Thalassoporum","unclassified_Pleurocapsaceae","Solentia","Spirulina","unclassified_Microcoleaceae","Odorella","unclassified_Prochlorococcaceae","Chlorogloea","Okeania","Baaleninema","unclassified_Nostocales","Rivularia","Crocosphaera","Hyella","Parasynechococcus","Inmanicoccus","Geitleribactron","unclassified_Oculatellaceae","Pseudanabaenaceae_X","Chroococcidiopsidaceae_XX","Nodosilineaceae_XXXX","Kastovskya","Mastigocoleus","Rippkaea","Sirenicapillaria","Regnicoccus","Affixifilum","Euryhalinema","Capilliphycus","unclassified_Rivulariaceae","unclassified_Aphanizomenonaceae","Nodosilineaceae_X","Macrochaete","SampleType","TurtleID","AnimalName","AgeOld","Age","CCL","CCW","AdmissionDate","SamplingDate","RecoveryCentre","State","Condition","lon","lat"
0.106478783705038,0,0,0,0.0343274884780421,0,0.0859246702336176,0.00847592308099804,0.0172167187582773,0.0209779096254701,0,0.331673465063305,0,0,0.207872013561477,0.0417968956931716,0.00376119086719288,0,0,0.000582719711818615,0,0,0,0,0.126185304868358,0.000317847115537426,0,0.00720453461884833,0,0,0.00127138846214971,0,0,0,0,0,0,0,0.00444985961752397,0.000688668750331091,0,0.000529745192562377,0,0,0,0,0.000264872596281189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID105","FS94","adult","sub-adult",67.5,66,"28.11.2020","30.11.2020","Blue World Institute","WILD","good",14.28518,44.50634
0,0,0,0,0.0233151992894415,0,0.312386662225676,0.0230931497723992,0.00965915399134007,0.0222789682099108,0,0.00136930535509419,0,0,0.502164982791162,0,0,0,0,0.0019984456533807,0,0.000296066022723067,0,0,0.000629140298286518,0,0,0.00436697383516524,0,0,0.0789015950556974,0.000518115539765368,0,0,0.000629140298286518,0,0.0183931016616706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID107","FS35","sub-adult","juvenile",45,41,"28.11.2020","10.12.2020","Blue World Institute","DURING","good",14.28518,44.50634
0.0654761904761905,0,0,0,0.0315328610783156,0,0.0694116489571035,0.0120031483667847,0.00673947264856356,0.0365505706414797,0,0.0128886265249902,0,0,0.336186540731995,0.00221369539551358,0.00605076741440378,0.000442739079102715,0,0.00265643447461629,0.0351239669421488,0,0,0,0.232683982683983,0.00378787878787879,0,0.0182998819362456,0,0,0.0317788272333727,0,0,0,0.00388626524990161,0,0,0,0.000836284927194018,0.0011314443132625,0,0.0279909484454939,0,0,0,0,0.062081857536403,0,0.000245966155057064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID108","FS25","adult","adult",70,67,"18.12.2020","19.12.2020","Blue World Institute","WILD","good",14.28518,44.50634
0.0670429788076847,0,0,0,0.00722915428797782,0,0.169439492968905,0.00752624282036047,0.000693206575559517,0.0232719350366409,0.000495147553971083,0.00792236086353733,0,0,0.497326203208556,0,0,0.00207961972667855,0,0,0,0,0,0,0.203010497128144,0,0,0.0029708853238265,0,0,0.00227767874826698,0,0,0,0,0,0,0,0.00257476728064963,0.00425826896415132,0,0,0,0,0,0,0,0,0.00188156070509012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID109","FS60","adult","adult",73,68,"18.12.2020","19.12.2020","Blue World Institute","WILD","good",14.28518,44.50634
0.0437362892798512,0,0,0.00019612685775718,0.0224649998305077,0,0.00176998435827776,0,0.0776783422680013,0.125649518883869,0,7.5060896178674e-05,0.000121065961578506,0,0.214657213836387,0,0.00443585683223648,0,0,0.00661504414064959,0.00792013520646589,3.38984692419818e-05,0,0,0.281337924154596,0,0,0.212390859035637,0,0,1.21065961578506e-05,0,0,0,0.000237289284693873,3.87411077051221e-05,0,0,1.69492346209909e-05,5.32690230945428e-05,5.5690342326113e-05,0,0,0,0,0,0,0.000125908600041647,2.66345115472714e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000351091288577669,0,0,"carapace","ID110","APOX","juvenile","juvenile",36,34,"12.1.2021","14.1.2021","Blue World Institute","DURING","injured",14.44744,44.54678
0.014823617713285,0,0,0,0.0202651988991744,0,0.25781836377283,0,0.011977733299975,0.0801538653990493,0,0.00175131348511384,0,0,0.440517888416312,0.00672379284463348,0.00137603202401801,0,0,0.000594195646735051,0,0,0,0,0.141449837378034,0,0,0.0127908431323493,0,0,0.0016887665749312,0,0,0,0,0,0,0,0.00334625969477108,0.00218914185639229,0.000187640730547911,0,0,0,0,0,0.000187640730547911,0.00125093820365274,0.000906930197648236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID111","CC_LOSINJ_2102","sub-adult","juvenile",55,53.5,"23.1.2021","25.1.2021","Blue World Institute","DURING","injured",14.40861,44.57298
0.0833574697329549,0,0,0,0.0212593407866535,0,0.0509181486416034,0.000289636795458495,0.0722354167873487,0.0566529571916816,0,0.000463418872733592,0.00237502172275966,0,0.206453107802815,0,0.00104269246365058,0,0,0.0156403869547587,0.0118751086137983,0,0,0,0.472165903956439,0,0,0.00237502172275966,0,0,0,0,0,0,0.00057927359091699,0,0,0,0,0.000868910386375485,0,0,0,0,0,0,0,0.000984765104558883,0.000463418872733592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID112","ZLATA","juvenile","juvenile",35.5,33,"30.1.2021","3.2.2021","Blue World Institute","DURING","stranded",14.4418,44.54294
0.0702325581395349,0,0,0,0.142093023255814,0,0.0409302325581395,0.00209302325581395,0.0169767441860465,0.00511627906976744,0,0.0118604651162791,0,0,0.0311627906976744,0,0.0195348837209302,0,0,0.236511627906977,0.043953488372093,0,0.000465116279069767,0,0.116744186046512,0,0,0.0343023255813954,0,0,0,0,0,0,0.189186046511628,0,0,0,0,0.00488372093023256,0,0,0,0,0,0,0.00441860465116279,0.0211627906976744,0.00430232558139535,0,0,0,0,0,0,0,0,0,0,0,0,0.00290697674418605,0.00116279069767442,0,0,0,"carapace","ID113","NOEMI","sub-adult","juvenile",40.5,38,"14.2.2021","16.2.2021","Blue World Institute","DURING","injured",14.50811,44.52218
0.197044334975369,0,0,0,0.45320197044335,0,0.0295566502463054,0,0,0,0,0,0,0,0.152709359605911,0,0,0,0,0,0,0,0,0,0.083743842364532,0,0,0.0246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591133004926108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID116","NATANAEL","juvenile","juvenile",33,29,"9.3.2021","10.03.2021","Blue World Institute","DURING","weak",NA,NA
0.036076339723933,0.000217170357114935,0.000408280271376078,0.00773126471329169,0.0794322298183587,0.0292745641390933,0.0136122379839641,0.00396118731377642,0.172494071249251,0.0424264009659737,0.0123526499126975,0.0232459150255827,0.0323496963958408,0.00897347915598912,0.106126810114927,0.00355290704240034,0.00700157231338551,0,0,0.000886055057028936,0.00277978057107117,0.000217170357114935,0.00152019249980455,0.0101722595272636,0.0252786295681785,0,0,0.0106326606843472,0.00214564312829556,0,0.244976849639932,0,0,0.000929489128451923,0.0512174570219863,0.000121615399984364,0.010832457412893,0,0.0373446146094843,0.00102504408558249,0.000191109914261143,0.00299695092818611,0,0.000529895671360442,0,8.68681428459741e-05,0.000868681428459741,0.000208483542830338,0.000104241771415169,0.000512522042791247,0.000217170357114935,0.000138989028553559,0,0.011909622384183,0,0.00127696169983582,0.000312725314245507,0.00019979672854574,0.000729692399906182,0,0,0.000399593457091481,0,0,0,0,"carapace","ID117","KARLO ALBANO","adult","adult",73,73,"19.3.2021","25.3.2021","Aquarium Pula","BEFORE","floating",15.19374,43.88625
0.00342937417364478,0,0,0,0.00113623843102688,0,0.00412488981930366,8.95218157778757e-05,0.0604960885852799,0.00614946011458792,0,0.00117755619215513,0,0,0.89798644777435,0,0,0,0,0.00134282723666814,0,0,0,0,0.0179456809167034,0,0,0.00570185103569855,0,0,5.50903481710004e-05,0,0,0,0,0,4.13177611282503e-05,0,0,0,0,0,0,0,0,0,0,0.000247906566769502,0,0,0,0,0,0,0,7.57492287351256e-05,0,0,0,0,0,0,0,0,0,0,"carapace","ID118","OLIVER RAUL","juvenile","juvenile",26,24.2,"20.4.2021","23.4.2021","Aquarium Pula","BEFORE","injured",13.93734,44.80744
0,0,0,0,0.0625,0,0,0,0.10625,0,0.0375,0,0.0625,0,0.225,0,0,0,0,0,0,0,0,0,0.06875,0,0,0.09375,0,0,0.14375,0,0,0,0.0625,0,0,0.05625,0.08125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pool","pool","pool","pool","pool",NA,NA,"pool","","pool","pool","pool",NA,NA
0.0081762945264429,0,0,0,0.0509396636993076,0.0135329556694542,0.0598931236913433,0.000102765681400696,0.301957686230683,0.0563862448135445,0,0.000969851118219071,0.00818271738153044,0,0.296183539506982,0,0.00215165645432708,0.00010918853648824,0,0.0389353475406888,0.00139375955399694,0,0,0.000353257029814893,0.0574139016275515,0,0,0.0886354002081005,0,0,0.000545942682441199,0,0,0,0.000539519827353655,0.00550438681002479,0.00777165465592765,0,0,0.000147725667013501,0,0,0,0,0,0,0,0.000102765681400696,0,0,0,0,7.06514059629787e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID119","MARTIN","juvenile","juvenile",37.8,34.8,"21.4.2021","23.4.2021","Aquarium Pula","BEFORE","injured",14.47877,44.53431
0,0,0,0,0.267857142857143,0,0.0535714285714286,0,0,0,0,0,0,0,0.526785714285714,0,0,0,0,0,0,0,0,0,0.151785714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pool","pool","pool","pool","pool",NA,NA,"pool","","pool","pool","pool",NA,NA
0.0905141202027516,0,0,0,0.0128271438915899,0.00517223544015724,0.0388952105099824,0.000517223544015724,0.0373435398779352,0.0105513602979208,0,0,0,0,0.623150925830144,0,0,0,0,0.00237922830247233,0,0,0,0,0.168304541222716,0,0,0.00713768490741699,0,0,0,0,0,0,0,0,0,0,0,0.00289645184648805,0,0,0,0.000310334126409434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID120","CC_LOSINJ_2112","juvenile","juvenile",31,28,"23.5.2021","25.5.2021","Blue World Institute","DURING","floating",14.42382,44.56873
0.0143400138217001,0,0,0,0.00570145127850726,0,0,0.000863856254319281,0.00449205252246026,0.00103662750518314,0.00397373876986869,0,0,0,0.649447131997236,0,0.00207325501036628,0.00172771250863856,0,0,0,0,0,0,0.0602971665514858,0,0,0,0,0,0.00518313752591569,0,0,0,0.230476848652384,0,0,0,0.0162404975812025,0.00138217000691085,0,0,0,0,0,0,0,0,0,0,0,0,0.0027643400138217,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID121","BOVA","adult","adult",70,64,"5.6.2021","8.6.2021","Blue World Institute","DURING","injured",16.051,42.991
0.0729027962716378,0,0,0,0.191078561917443,0,0.0119840213049268,0.0123169107856192,0,0.22103861517976,0,0,0,0,0.203728362183755,0,0.00765645805592543,0.00233022636484687,0,0.00399467376830892,0,0,0,0,0.0209720372836218,0,0,0.0386151797603196,0,0,0,0.0159786950732357,0,0,0.0099866844207723,0,0,0,0.184753661784288,0,0,0,0,0,0,0,0.00266311584553928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID123","CALIMERO","sub-adult","juvenile",52,52,"1.4.2021","6.4.2021","Blue World Institute","DURING","injured",14.18147,44.51976
0.000185045478484905,0,0,0.000213514013636428,0.00384325224545571,0,0.19654676668612,0,0.0248814997224318,0.245185258992499,0,0,0,0,0.508448037806215,0,0.00284685351515238,0,0,0.00566523849515323,0.000128108408181857,0,0,0,0.00153730089818228,0,0,0.0100209243733364,0,0,8.54056054545713e-05,0,0,0,0,0,0,0,0,0.000412793759697095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID124","MARIJANA","juvenile","juvenile",26,23,"5.4.2021","6.4.2021","Blue World Institute","DURING","floating",14.58064,44.67156
0.0499591802114147,0,0,0,0.0248735646808105,0.000116627967386579,0.0301085700350944,0.000169640679835024,0.0311370166565943,0.0321071492944008,0,0,4.50608055811784e-05,0,0.821410774303678,0,0,2.12050849793781e-05,0,4.24101699587561e-05,0,0,0,0.0028944940996851,0.00194026527561309,0,0,0.00454849072807659,0,0,2.65063562242226e-05,0,0,0,1.0602542489689e-05,0,0.000217352121038625,0,0,0.000116627967386579,0,0,0,0,0,0,0,0.000132531781121113,0,0,0,0,0,0,0,0,0,0,0.000108676060519313,0,0,1.32531781121113e-05,0,0,0,0,"carapace","ID125","CC_LOSINJ_2111","juvenile","juvenile",27,25.5,"20.4.2021","21.4.2021","Blue World Institute","from deceased","floating",14.43973,44.54774
0.000943213027436402,0,0,0.11038366576969,0.223513745942797,0.0697700224706633,0.00898826532027631,0.000859988348544955,0.0996476821926929,0.0518767165090021,0,0.00191416761450329,0.0581740505451216,0,0.00546508724720504,0,0.0321524676117291,0,0.000194190917413377,0.0251338530252171,0.00707409770577302,0,0,0.0137875551363498,0,0,0,0.0163397786223542,0,0.177046633561739,0.0335395455932533,0.0011096623852193,0.000499348073348684,0,0.0246067633922379,0.00155352733930702,0.00244125724748245,0.000554831192609648,0,0.00216384165117763,0,0.000332898715565789,0.00208061697228618,0,0.00632507559574999,0,0,0.00862762504508004,0,0,0,0,0,0.00119288706411074,0,0,0,0,0,0,0,0.00102643770632785,0.0105140510999528,0,0.000166449357782895,0,"rocks","rocks","rocks","rocks","rocks",NA,NA,"rocks","","rocks","rocks","rocks",NA,NA
