"Nodosilineales","Synechococcales","Aegeococcocales","Chroococcales","unclassified_Cyanophyceae","Prochlorothrichales","Caenarcaniphilales","unclassified_Cyanobacteriota","unclassified_Sericytochromatia","Oculatellales","Desertifilales","Leptolyngbyales","Chroococcidiopsidales","Oscillatoriales","Coleofasciculales","Acaryochloridales","Pseudanabaenales","Spirulinales","Nostocales","SampleType","TurtleID","AnimalName","AgeOld","Age","CCL","CCW","AdmissionDate","SamplingDate","RecoveryCentre","State","Condition","lon","lat"
0.837720763780938,0.000205812134683461,0,0.00717194756391072,0.0224649998305077,0.00176998435827776,0,0.125649518883869,7.5060896178674e-05,0.000121065961578506,0,0.00443585683223648,0,3.38984692419818e-05,0,0,0,0,0.000351091288577669,"carapace","ID110","APOX","juvenile","juvenile",36,34,"12.1.2021","14.1.2021","Blue World Institute","DURING","injured",14.44744,44.54678
0.621559919939955,0.00434701025769327,0,0.00600450337753315,0.0202651988991744,0.25781836377283,0,0.0801538653990493,0.00175131348511384,0,0.00672379284463348,0.00137603202401801,0,0,0,0,0,0,0,"carapace","ID111","CC_LOSINJ_2102","sub-adult","juvenile",55,53.5,"23.1.2021","25.1.2021","Blue World Institute","DURING","injured",14.40861,44.57298
0.848462028616115,0.00231709436366796,0,0.0162196605456757,0.0212593407866535,0.0509181486416034,0.000289636795458495,0.0566529571916816,0.000463418872733592,0.00237502172275966,0,0.00104269246365058,0,0,0,0,0,0,0,"carapace","ID112","ZLATA","juvenile","juvenile",35.5,33,"30.1.2021","3.2.2021","Blue World Institute","DURING","stranded",14.4418,44.54294
0.313372093023256,0.0303488372093023,0,0.430581395348837,0.142093023255814,0.0409302325581395,0.00209302325581395,0.00511627906976744,0.0118604651162791,0,0,0.0195348837209302,0,0.00290697674418605,0,0,0,0,0.00116279069767442,"carapace","ID113","NOEMI","sub-adult","juvenile",40.5,38,"14.2.2021","16.2.2021","Blue World Institute","DURING","injured",14.50811,44.52218
0.458128078817734,0.0591133004926108,0,0,0.45320197044335,0.0295566502463054,0,0,0,0,0,0,0,0,0,0,0,0,0,"carapace","ID116","NATANAEL","juvenile","juvenile",33,29,"9.3.2021","10.03.2021","Blue World Institute","DURING","weak",NA,NA
0.394572478434984,0.0112581113128382,0.000408280271376078,0.367782343181285,0.0794322298183587,0.0136122379839641,0.00396118731377642,0.0424264009659737,0.0232459150255827,0.0325668667529557,0.00355290704240034,0.00751409435617676,0,0.00381351147093826,0.00214564312829556,0,0.00106847815700548,0.010832457412893,0.00180685737119626,"carapace","ID117","KARLO ALBANO","adult","adult",73,73,"19.3.2021","25.3.2021","Aquarium Pula","BEFORE","floating",15.19374,43.88625
0.985559442485677,0.000247906566769502,0,0.00139791758483914,0.00113623843102688,0.00412488981930366,8.95218157778757e-05,0.00614946011458792,0.00117755619215513,0,0,0,0,0,0,0,0,4.13177611282503e-05,7.57492287351256e-05,"carapace","ID118","OLIVER RAUL","juvenile","juvenile",26,24.2,"20.4.2021","23.4.2021","Aquarium Pula","BEFORE","injured",13.93734,44.80744
0.49375,0,0,0.325,0.0625,0,0,0,0,0.0625,0,0,0,0.05625,0,0,0,0,0,"pool","pool","pool","pool","pool",NA,NA,"pool","","pool","pool","pool",NA,NA
0.767293537323211,0.000250491348414197,0,0.0458784538903233,0.0509396636993076,0.0598931236913433,0.000102765681400696,0.0563862448135445,0.000969851118219071,0.00818271738153044,0,0.00215165645432708,0.000179839942451218,0,0,0,0,0.00777165465592765,0,"carapace","ID119","MARTIN","juvenile","juvenile",37.8,34.8,"21.4.2021","23.4.2021","Aquarium Pula","BEFORE","injured",14.47877,44.53431
0.678571428571429,0,0,0,0.267857142857143,0.0535714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,"pool","pool","pool","pool","pool",NA,NA,"pool","","pool","pool","pool",NA,NA
0.931623047481121,0.00289645184648805,0,0.00237922830247233,0.0128271438915899,0.0388952105099824,0.000517223544015724,0.0105513602979208,0,0,0,0,0,0,0,0,0,0,0.000310334126409434,"carapace","ID120","CC_LOSINJ_2112","juvenile","juvenile",31,28,"23.5.2021","25.5.2021","Blue World Institute","DURING","floating",14.42382,44.56873
0.728576364892882,0.00138217000691085,0,0.255874222529371,0.00570145127850726,0,0.000863856254319281,0.00103662750518314,0,0,0,0.00207325501036628,0.00449205252246026,0,0,0,0,0,0,"carapace","ID121","BOVA","adult","adult",70,64,"5.6.2021","8.6.2021","Blue World Institute","DURING","injured",16.051,42.991
0.336218375499334,0,0,0.201398135818908,0.191078561917443,0.0119840213049268,0.0123169107856192,0.22103861517976,0,0,0,0.00765645805592543,0.00233022636484687,0.0159786950732357,0,0,0,0,0,"carapace","ID123","CALIMERO","sub-adult","juvenile",52,52,"1.4.2021","6.4.2021","Blue World Institute","DURING","injured",14.18147,44.51976
0.545200916686832,0.000412793759697095,0,0.00596415811424423,0.00384325224545571,0.19654676668612,0,0.245185258992499,0,0,0,0.00284685351515238,0,0,0,0,0,0,0,"carapace","ID124","MARIJANA","juvenile","juvenile",26,23,"5.4.2021","6.4.2021","Blue World Institute","DURING","floating",14.58064,44.67156
0.909112355142763,0.000357835809027005,0,0.00297401316835777,0.0248735646808105,0.0301085700350944,0.000169640679835024,0.0321071492944008,0,4.50608055811784e-05,0,0,2.12050849793781e-05,1.32531781121113e-05,0,0,0,0.000217352121038625,0,"carapace","ID125","CC_LOSINJ_2111","juvenile","juvenile",27,25.5,"20.4.2021","21.4.2021","Blue World Institute","from deceased","floating",14.43973,44.54774
0.200599217688018,0.0107914666962577,0,0.209199101173468,0.223513745942797,0.00898826532027631,0.000859988348544955,0.0518767165090021,0.00191416761450329,0.0581740505451216,0,0.0321524676117291,0,0.00510444697200877,0,0.177545981635088,0,0.00244125724748245,0.0168391266957028,"rocks","rocks","rocks","rocks","rocks",NA,NA,"rocks","","rocks","rocks","rocks",NA,NA
