index,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nodosilineales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Aegeococcocales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;__,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Prochlorothrichales,k__Bacteria;p__Cyanobacteriota;c__Vampirivibrionia;o__Caenarcaniphilales,k__Bacteria;p__Cyanobacteriota;__;__,k__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oculatellales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Desertifilales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcidiopsidales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Coleofasciculales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Spirulinales,k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales,SampleType,TurtleID,AnimalName,AgeOld,Age,CCL,CCW,AdmissionDate,SamplingDate,RecoveryCentre,State,Condition,lon,lat
V6-TB203,19875.0,139.0,0.0,192.0,648.0,8244.0,0.0,2563.0,56.0,0.0,215.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID111,CC_LOSINJ_2102,sub-adult,juvenile,55.0,53.5,23.1.2021,25.1.2021,Blue World Institute,DURING,injured,14.40861,44.57298
V6-TB205,14647.0,40.0,0.0,280.0,367.0,879.0,5.0,978.0,8.0,41.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID112,ZLATA,juvenile,juvenile,35.5,33.0,30.1.2021,3.2.2021,Blue World Institute,DURING,stranded,14.4418,44.54294
V6-TB207,2695.0,261.0,0.0,3703.0,1222.0,352.0,18.0,44.0,102.0,0.0,0.0,168.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,carapace,ID113,NOEMI,sub-adult,juvenile,40.5,38.0,14.2.2021,16.2.2021,Blue World Institute,DURING,injured,14.50811,44.52218
V6-TB213,93.0,12.0,0.0,0.0,92.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID116,NATANAEL,juvenile,juvenile,33.0,29.0,9.3.2021,10.03.2021,Blue World Institute,DURING,weak,,
V6-TB215,45422.0,1296.0,47.0,42338.0,9144.0,1567.0,456.0,4884.0,2676.0,3749.0,409.0,865.0,0.0,439.0,247.0,0.0,123.0,1247.0,208.0,carapace,ID117,KARLO ALBANO,adult,adult,73.0,73.0,19.3.2021,25.3.2021,Aquarium Pula,BEFORE,floating,15.19374,43.88625
V6-TB217,143119.0,36.0,0.0,203.0,165.0,599.0,13.0,893.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,carapace,ID118,OLIVER RAUL,juvenile,juvenile,26.0,24.2,20.4.2021,23.4.2021,Aquarium Pula,BEFORE,injured,13.93734,44.80744
V6-TB217P,79.0,0.0,0.0,52.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,pool,pool,pool,pool,pool,,,pool,,pool,pool,pool,,
V6-TB219,119463.0,39.0,0.0,7143.0,7931.0,9325.0,16.0,8779.0,151.0,1274.0,0.0,335.0,28.0,0.0,0.0,0.0,0.0,1210.0,0.0,carapace,ID119,MARTIN,juvenile,juvenile,37.8,34.8,21.4.2021,23.4.2021,Aquarium Pula,BEFORE,injured,14.47877,44.53431
V6-TB219P,76.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pool,pool,pool,pool,pool,,,pool,,pool,pool,pool,,
V6-TB221,9006.0,28.0,0.0,23.0,124.0,376.0,5.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,carapace,ID120,CC_LOSINJ_2112,juvenile,juvenile,31.0,28.0,23.5.2021,25.5.2021,Blue World Institute,DURING,floating,14.42382,44.56873
V6-TB223,4217.0,8.0,0.0,1481.0,33.0,0.0,5.0,6.0,0.0,0.0,0.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID121,BOVA,adult,adult,70.0,64.0,5.6.2021,8.6.2021,Blue World Institute,DURING,injured,16.051,42.991
V6-TB227,1010.0,0.0,0.0,605.0,574.0,36.0,37.0,664.0,0.0,0.0,0.0,23.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,carapace,ID123,CALIMERO,sub-adult,juvenile,52.0,52.0,1.4.2021,6.4.2021,Blue World Institute,DURING,injured,14.18147,44.51976
V6-TB229,38302.0,29.0,0.0,419.0,270.0,13808.0,0.0,17225.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carapace,ID124,MARIJANA,juvenile,juvenile,26.0,23.0,5.4.2021,6.4.2021,Blue World Institute,DURING,floating,14.58064,44.67156
V6-TB231,342979.0,135.0,0.0,1122.0,9384.0,11359.0,64.0,12113.0,0.0,17.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,82.0,0.0,carapace,ID125,CC_LOSINJ_2111,juvenile,juvenile,27.0,25.5,20.4.2021,21.4.2021,Blue World Institute,from deceased,floating,14.43973,44.54774
V6-VRS,7231.0,389.0,0.0,7541.0,8057.0,324.0,31.0,1870.0,69.0,2097.0,0.0,1159.0,0.0,184.0,0.0,6400.0,0.0,88.0,607.0,rocks,rocks,rocks,rocks,rocks,,,rocks,,rocks,rocks,rocks,,
